  2449     cell side=  247.    lamda=  30.0    %-model= 3.0    dens=  0.0
   X(m)   Y(m)   Z(m asl)   sx(m)  sy(m)   sz(m)  den(kg/m3)   sen    ord
 362778 6008234    1882      114     86    114     11.0        3.3    4.0
 362778 6008315    1882      114     77    114      3.7        2.9    3.8
 362892 6008065    1882      114     62    114      3.7        2.4    3.9
 362892 6008133    1882      114     73    114      7.3        2.9    5.3
 362892 6008212    1882      114     84    114     11.0        3.3    6.9
 362892 6008296    1882      114     84    114     11.0        3.4    4.3
 362892 6008381    1882      114     84    114      3.7        3.2    4.5
 363005 6008135    1882      114     65    114      3.7        2.6    5.1
 363005 6008205    1882      114     75    114      7.3        3.0    4.4
 360081 6011623    1762      128     58    128     -3.7        2.9    4.4
 360081 6011685    1762      128     65    128     -3.7        3.2    5.4
 360081 6011754    1762      128     73    128     -3.7        3.6    5.5
 360081 6011831    1762      128     82    128     -3.7        4.1    4.0
 360209 6011454    1762      128     44    128     -3.7        2.1    4.2
 360209 6011498    1762      128     44    128     -7.3        2.2    3.7
 360209 6011545    1762      128     48    128     -7.3        2.4    4.9
 360209 6011595    1762      128     52    128     -7.3        2.6    6.7
 360209 6011649    1762      128     56    128     -7.3        2.7    7.5
 360209 6011707    1762      128     60    128     -7.3        2.9    5.6
 360209 6011768    1762      128     64    128     -7.3        3.1    4.1
 360209 6011835    1762      128     69    128     -3.7        3.4    4.9
 360337 6011293    1762      128     46    128     -3.7        2.1    3.8
 360337 6011339    1762      128     46    128     -3.7        2.2    4.8
 360337 6011385    1762      128     46    128     -7.3        2.2    4.4
 360337 6011431    1762      128     46    128     -7.3        2.2    6.2
 360337 6011477    1762      128     46    128    -11.0        2.3    4.0
 360337 6011523    1762      128     46    128    -11.0        2.3    4.1
 360337 6011570    1762      128     48    128     -7.3        2.3    7.6
 360337 6011618    1762      128     48    128     -7.3        2.4    5.6
 360337 6011666    1762      128     48    128     -7.3        2.4    4.2
 360337 6011716    1762      128     51    128     -3.7        2.5    4.9
 360337 6011767    1762      128     51    128     -3.7        2.6    3.9
 360465 6011126    1762      128     66    128     -3.7        3.1    4.3
 360465 6011190    1762      128     61    128     -7.3        2.9    3.9
 360465 6011250    1762      128     58    128     -7.3        2.8    4.9
 360465 6011307    1762      128     56    128     -7.3        2.7    6.6
 360465 6011362    1762      128     56    128    -11.0        2.6    4.4
 360465 6011416    1762      128     52    128    -11.0        2.5    4.4
 360465 6011467    1762      128     50    128     -7.3        2.4    6.8
 360465 6011515    1762      128     48    128     -7.3        2.3    4.9
 360465 6011563    1762      128     48    128     -3.7        2.2    5.3
 360465 6011609    1762      128     45    128     -3.7        2.1    4.1
 360592 6010820    1762      128    146    128     -3.7        6.9    3.7
 360592 6010951    1762      128    115    128     -3.7        5.4    4.8
 360592 6011057    1762      128     97    128     -7.3        4.5    4.5
 360592 6011147    1762      128     84    128     -7.3        4.0    6.5
 360592 6011226    1762      128     75    128    -11.0        3.5    4.3
 360592 6011298    1762      128     68    128    -11.0        3.2    4.2
 360592 6011362    1762      128     61    128     -7.3        2.9    6.0
 360592 6011421    1762      128     56    128     -7.3        2.7    4.4
 360592 6011475    1762      128     52    128     -3.7        2.5    4.6
 360720 6010824    1762      128    181    128     -3.7        8.6    5.4
 360720 6010984    1762      128    139    128     -7.3        6.5    5.3
 360720 6011110    1762      128    113    128    -11.0        5.3    3.9
 360720 6011213    1762      128     94    128     -7.3        4.4    6.8
 360720 6011300    1762      128     81    128     -7.3        3.8    4.7
 360720 6011376    1762      128     70    128     -3.7        3.3    4.8
 360848 6010697    1762      128    269    128     -3.7       13.2    4.3
 360848 6010927    1762      128    189    128     -7.3        9.0    5.2
 360848 6011093    1762      128    144    128     -7.3        6.8    5.8
 360848 6011222    1762      128    114    128     -7.3        5.4    4.2
 360848 6011327    1762      128     95    128     -3.7        4.4    4.2
 360976 6010920    1762      128    231    128     -7.3       11.2    4.2
 360976 6011121    1762      128    170    128     -7.3        8.1    3.9
 360976 6011272    1762      128    133    128     -3.7        6.2    3.9
 361103 6010806    1762      128    337    128     -3.7       16.3    3.8
 361103 6011087    1762      128    224    128     -3.7       10.7    4.6
 361231 6005093    1762      128    135    128      3.7        6.5    3.9
 361231 6005212    1762      128    104    128      3.7        4.9    3.8
 361359 6004976    1762      128    213    128      3.7       10.6    4.2
 361359 6005159    1762      128    154    128      3.7        7.3    4.2
 361359 6005297    1762      128    122    128      3.7        5.7    4.0
 361359 6005411    1762      128    105    128      3.7        4.9    3.8
 361487 6004814    1762      128    356    128      3.7       17.8    4.1
 361487 6005104    1762      128    224    128      3.7       10.8    4.7
